text
"On 2015-07-05, the mains power consumption was 141.65084668803422 units, television used 15.899276215277776 units, fan used 12.665533969907408 units, fridge used 49.356105284010056 units, and laptop computer used 17.626762030228758 units. Environmental conditions were: temperature 19.716666666666665°C, dew point 15.2125°C, relative humidity 76.33333333333333%, wind speed 14.25 km/h, and pressure 1016.9458333333332 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-06, the mains power consumption was 150.59958796296294 units, television used 2.917830787037037 units, fan used 8.523975 units, fridge used 47.94330069444442 units, and laptop computer used 11.54571296296296 units. Environmental conditions were: temperature 18.425°C, dew point 12.054166666666667°C, relative humidity 67.625%, wind speed 18.029166666666665 km/h, and pressure 1019.3125 hPa. Day: Monday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-07, the mains power consumption was 140.05077546296295 units, television used 13.303897280092592 units, fan used 6.702272858796296 units, fridge used 45.28184699074076 units, and laptop computer used 15.921110243055551 units. Environmental conditions were: temperature 19.5625°C, dew point 13.395833333333334°C, relative humidity 68.875%, wind speed 20.7 km/h, and pressure 1009.25 hPa. Day: Tuesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-08, the mains power consumption was 112.1713831018514 units, television used 6.18093125 units, fan used 0.0 units, fridge used 42.26882714120373 units, and laptop computer used 9.738715219907409 units. Environmental conditions were: temperature 16.1125°C, dew point 11.9875°C, relative humidity 77.125%, wind speed 27.3 km/h, and pressure 1008.8375 hPa. Day: Wednesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-09, the mains power consumption was 146.548130787037 units, television used 13.838018229166666 units, fan used 0.424930381944445 units, fridge used 40.81905092592588 units, and laptop computer used 10.963490256076389 units. Environmental conditions were: temperature 13.691666666666666°C, dew point 7.65°C, relative humidity 67.66666666666667%, wind speed 20.25 km/h, and pressure 1020.8375 hPa. Day: Thursday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-10, the mains power consumption was 123.7845 units, television used 0.6809247685185185 units, fan used 0.0964733796296296 units, fridge used 39.576589236111104 units, and laptop computer used 7.301099558738425 units. Environmental conditions were: temperature 16.966666666666665°C, dew point 9.083333333333334°C, relative humidity 62.79166666666666%, wind speed 11.7 km/h, and pressure 1021.8125 hPa. Day: Friday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-11, the mains power consumption was 74.7316179503367 units, television used 0.0 units, fan used 0.0004825846354166 units, fridge used 41.59880024305555 units, and laptop computer used 0.0007768640350872 units. Environmental conditions were: temperature 20.0°C, dew point 11.729166666666666°C, relative humidity 60.875%, wind speed 12.75 km/h, and pressure 1015.7166666666668 hPa. Day: Saturday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-12, the mains power consumption was 141.64505797558925 units, television used 15.899276215277776 units, fan used 12.662820771846064 units, fridge used 49.35204258101861 units, and laptop computer used 17.625888760964912 units. Environmental conditions were: temperature 17.983333333333334°C, dew point 14.4°C, relative humidity 80.08333333333333%, wind speed 22.8 km/h, and pressure 1016.3958333333334 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-07-13, the mains power consumption was 150.59958796296294 units, television used 2.917830787037037 units, fan used 8.523975 units, fridge used 47.94330069444442 units, and laptop computer used 11.54571296296296 units. Environmental conditions were: temperature 17.9°C, dew point 15.845833333333331°C, relative humidity 88.04166666666667%, wind speed 22.05 km/h, and pressure 1014.4541666666668 hPa. Day: Monday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-14, the mains power consumption was 140.05176504629634 units, television used 13.303897280092592 units, fan used 6.702272858796296 units, fridge used 45.28184699074076 units, and laptop computer used 15.921184585160818 units. Environmental conditions were: temperature 17.8875°C, dew point 15.5625°C, relative humidity 86.58333333333333%, wind speed 19.5 km/h, and pressure 1015.8833333333332 hPa. Day: Tuesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-15, the mains power consumption was 122.2899305555556 units, television used 0.9189177662037036 units, fan used 0.0 units, fridge used 41.42327453997962 units, and laptop computer used 11.188049674098435 units. Environmental conditions were: temperature 17.441666666666666°C, dew point 16.208333333333332°C, relative humidity 92.54166666666669%, wind speed 15.6 km/h, and pressure 1018.2666666666668 hPa. Day: Wednesday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-07-16, the mains power consumption was 128.5047395833334 units, television used 9.03896215277778 units, fan used 0.0 units, fridge used 43.75442042529816 units, and laptop computer used 12.36648292824074 units. Environmental conditions were: temperature 18.933333333333334°C, dew point 13.216666666666669°C, relative humidity 71.08333333333333%, wind speed 10.5 km/h, and pressure 1017.8 hPa. Day: Thursday (July), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
